unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,Average Price,Return Ratio
1563130800,14-07-2019 19:00,BTC/USD,10476.18,10541.05,10389.97,10491.31,329.88,3450801.36,10474.6275,1.197825483
1563127200,14-07-2019 18:00,BTC/USD,10576.45,10599.72,10306.41,10476.18,536.99,5615476.49,10489.69,1.199547955
1563123600,14-07-2019 17:00,BTC/USD,10576.85,10665.1,10515.03,10576.45,341.01,3614300.5,10583.3575,1.210259297
1563120000,14-07-2019 16:00,BTC/USD,10425.71,10604,10340.1,10576.85,842.76,8816073.08,10486.665,1.199202031
1563116400,14-07-2019 15:00,BTC/USD,10621.97,10655.34,10280.48,10425.71,1501.81,15664682.62,10495.875,1.20025524
1563112800,14-07-2019 14:00,BTC/USD,10664.87,10729.4,10545.77,10621.97,416.06,4427443.52,10640.5025,1.21679411
1563109200,14-07-2019 13:00,BTC/USD,10703.17,10762.4,10519,10664.87,504.89,5376695.27,10662.36,1.219293624
1563105600,14-07-2019 12:00,BTC/USD,10671.14,10756.49,10540.63,10703.17,707.64,7546346.59,10667.8575,1.21992229
1563102000,14-07-2019 11:00,BTC/USD,10733.58,10806,10555.16,10671.14,676.42,7213665.71,10691.47,1.222622496
1563098400,14-07-2019 10:00,BTC/USD,10834.35,10892.28,10593.4,10733.58,1172.3,12580330.39,10763.4025,1.230848334
1563094800,14-07-2019 09:00,BTC/USD,11085.31,11144.7,10652.14,10834.35,1246.85,13513129.59,10929.125,1.249799521
1563091200,14-07-2019 08:00,BTC/USD,11139.92,11199.88,11085.31,11085.31,120.21,1341833.78,11127.605,1.272496692
1563087600,14-07-2019 07:00,BTC/USD,11229.96,11229.96,11086.99,11139.92,268,2986428.04,11171.7075,1.277540031
1563084000,14-07-2019 06:00,BTC/USD,11243.77,11310,11204.07,11229.96,118.95,1340374.33,11246.95,1.286144383
1563080400,14-07-2019 05:00,BTC/USD,11189.81,11258.53,11158.9,11243.77,156.39,1755464.48,11212.7525,1.28223373
1563076800,14-07-2019 04:00,BTC/USD,11290.03,11354.17,11163.68,11189.81,124.2,1394669.52,11249.4225,1.286427125
1563073200,14-07-2019 03:00,BTC/USD,11344,11370.78,11285.01,11290.03,43.99,498376.19,11322.455,1.294778753
1563069600,14-07-2019 02:00,BTC/USD,11397.49,11467.3,11321.98,11344,83.6,951763.1,11382.6925,1.301667209
1563066000,14-07-2019 01:00,BTC/USD,11330.66,11464.81,11272.94,11397.49,191.84,2185567.66,11366.475,1.299812658
1563062400,14-07-2019 00:00,BTC/USD,11378.79,11434.89,11295.9,11330.66,139.91,1587806.91,11360.06,1.299079071
1563058800,13-07-2019 23:00,BTC/USD,11285.82,11400,11219.06,11378.79,210.39,2378222.2,11320.9175,1.294602932
