unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1533610800,07-08-2018 03:00,ETH/USD,404.99,405.59,404.58,404.87,12.51,5068.58,405.0075,0.55240034
1533614400,07-08-2018 04:00,ETH/USD,404.87,405.97,404.79,405.12,49.75,20168.64,405.1875,0.552645846
1533618000,07-08-2018 05:00,ETH/USD,405.12,405.81,404.68,404.91,37.24,15087.43,405.13,0.552567421
1533621600,07-08-2018 06:00,ETH/USD,404.91,405.7,404.34,405.46,150.34,60892.81,405.1025,0.552529913
1533625200,07-08-2018 07:00,ETH/USD,405.46,409.99,404.86,408.69,1013.51,414260.87,407.25,0.555458944
1533628800,07-08-2018 08:00,ETH/USD,408.69,409.34,407.76,408.82,92.89,37964.29,408.6525,0.557371851
1533632400,07-08-2018 09:00,ETH/USD,408.82,410.25,408.82,410.24,362.67,148589.15,409.5325,0.558572106
1533636000,07-08-2018 10:00,ETH/USD,410.24,410.53,407.89,409.18,1383.05,565847.75,409.46,0.558473221
1533639600,07-08-2018 11:00,ETH/USD,409.18,410.67,408.58,409.86,249.73,102356.63,409.5725,0.558626663
1533643200,07-08-2018 12:00,ETH/USD,409.86,409.86,407.59,408.99,740,302407.31,409.075,0.557948109
1533646800,07-08-2018 13:00,ETH/USD,408.99,409.8,407.56,407.72,556.68,227534.96,408.5175,0.557187721
1533650400,07-08-2018 14:00,ETH/USD,407.72,408.58,407.1,407.75,377.67,154043.8,407.7875,0.556192054
1533654000,07-08-2018 15:00,ETH/USD,407.75,409.51,407.35,408.6,219.21,89574.08,408.3025,0.556894476
1533657600,07-08-2018 16:00,ETH/USD,408.6,409.01,407.39,408.41,951.66,388397.44,408.3525,0.556962673
1533661200,07-08-2018 17:00,ETH/USD,408.41,408.62,407.28,407.97,1760.81,718204.69,408.07,0.556577364
1533664800,07-08-2018 18:00,ETH/USD,407.97,408.01,403.76,404.69,408.54,165473.47,406.1075,0.553900658
1533668400,07-08-2018 19:00,ETH/USD,404.69,404.7,393.11,393.87,1799.9,717541.85,399.0925,0.544332716
1533672000,07-08-2018 20:00,ETH/USD,393.87,394.04,381.83,384.66,5053,1950332.53,388.6,0.530021721
1533675600,07-08-2018 21:00,ETH/USD,384.66,384.99,369.22,377.99,3785.69,1425112.13,379.215,0.517221273
1533679200,07-08-2018 22:00,ETH/USD,377.99,382.56,376.88,380.78,1316.32,500269.41,379.5525,0.517681598
1533682800,07-08-2018 23:00,ETH/USD,380.78,380.99,375.91,378.3,846.99,320827.49,378.995,0.516921209
1533686400,08-08-2018 00:00,ETH/USD,378.3,378.3,370.81,376.95,2008.5,751532.44,376.09,0.512959004
1533690000,08-08-2018 01:00,ETH/USD,376.95,381.52,376.61,376.88,2158.26,816879.25,377.99,0.515550464
1533693600,08-08-2018 02:00,ETH/USD,376.88,378.15,372.96,378.15,4494.17,1684571.01,376.535,0.513565951
1533697200,08-08-2018 03:00,ETH/USD,378.15,378.5,375,376.24,713.03,268364.83,376.9725,0.514162669
1533700800,08-08-2018 04:00,ETH/USD,376.24,376.38,370.36,370.99,1534.81,572032.33,373.4925,0.509416205
1533704400,08-08-2018 05:00,ETH/USD,370.99,374.98,366.9,372.67,1813.95,671260.64,371.385,0.506541731
1533708000,08-08-2018 06:00,ETH/USD,372.67,373.84,369.74,373.23,1211.3,450449.35,372.37,0.507885198
1533711600,08-08-2018 07:00,ETH/USD,373.23,373.66,367.76,367.76,518.1,191924.16,370.6025,0.505474459
1533715200,08-08-2018 08:00,ETH/USD,367.76,369.18,365.09,368.99,2662.21,977958.58,367.755,0.501590679
1533718800,08-08-2018 09:00,ETH/USD,368.99,369.82,368.05,369.14,356.8,131683.05,369,0.503288767
1533722400,08-08-2018 10:00,ETH/USD,369.14,369.14,365.01,366.7,797.74,292578.74,367.4975,0.501239468
1533726000,08-08-2018 11:00,ETH/USD,366.7,368.86,366.27,368.27,650.26,239211.7,367.525,0.501276976
1533729600,08-08-2018 12:00,ETH/USD,368.27,369,365.94,366.54,439.3,161267.08,367.4375,0.501157632
